date,exp_name,nultipier,changepoint,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,region_10,region_11
5/19/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/20/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.074,0.072,0.076,0.077,0.068,0.090,0.068,0.083,0.065,0.085,0.071
5/21/2020,20201013_IL_mr_v2_moreSamples_restorefit,,5,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
5/22/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
5/23/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
5/24/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
5/25/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
5/26/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
5/27/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
5/28/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
5/29/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
5/30/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
5/31/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/1/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/2/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/3/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/4/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/5/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/6/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/7/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/8/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/9/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/10/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/11/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/12/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/13/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/14/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/15/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/16/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/17/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/18/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/19/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/20/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.076,0.072,0.069,0.074,0.068,0.090,0.068,0.076,0.065,0.074,0.071
6/21/2020,20201013_IL_mr_v2_moreSamples_restorefit,,6,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
6/22/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
6/23/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
6/24/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
6/25/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
6/26/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
6/27/2020,20201013_IL_mr_v2_moreSamples_restorefit,,,0.101,0.150,0.171,0.140,0.150,0.120,0.115,0.108,0.121,0.113,0.112
